"GENDER","CATEGORY","ATHLETE","RESULT_SPORT_1","RESULT_T_1","RESULT_SPORT_2","RESULT_T_2","RESULT_SPORT_3","RESULT_FINAL","RANKING_OVERALL","RANKING_OVERALL_SPORT_1","RANKING_OVERALL_SPORT_2","RANKING_OVERALL_SPORT_3","RANKING_OVERALL_T_1","RANKING_OVERALL_T_2","RANKING_OVERALL_AFTER_T_1","RANKING_OVERALL_AFTER_SPORT_2","RANKING_OVERALL_AFTER_T_2","RANKING_CATEGORY","RANKING_CATEGORY_SPORT_1","RANKING_CATEGORY_SPORT_2","RANKING_CATEGORY_SPORT_3","RANKING_CATEGORY_T_1","RANKING_CATEGORY_T_2","RANKING_CATEGORY_AFTER_T_1","RANKING_CATEGORY_AFTER_SPORT_2","RANKING_CATEGORY_AFTER_T_2","RANKING_GENDER","RANKING_GENDER_SPORT_1","RANKING_GENDER_SPORT_2","RANKING_GENDER_SPORT_3","RANKING_GENDER_T_1","RANKING_GENDER_T_2","RANKING_GENDER_AFTER_T_1","RANKING_GENDER_AFTER_SPORT_2","RANKING_GENDER_AFTER_T_2","RACE_ID","COUNTRY"
"Men","Men40-49","PAUL BREGIN",430,NA,525,NA,488,1443,1,2,5,1,NA,NA,NA,1,NA,1,1,3,1,NA,NA,NA,1,NA,1,2,5,1,NA,NA,NA,1,NA,"2026-03-14_JHTMW",NA
"Men","Men40-49","DEREK LANTZ",400,NA,535,NA,488,1423,2,4,4,1,NA,NA,NA,3,NA,2,2,2,1,NA,NA,NA,2,NA,2,3,4,1,NA,NA,NA,3,NA,"2026-03-14_JHTMW",NA
"Men","MenU17","SIDNEY STEWART",440,NA,510,NA,425,1375,3,1,7,5,NA,NA,NA,2,NA,1,1,1,2,NA,NA,NA,1,NA,3,1,7,4,NA,NA,NA,2,NA,"2026-03-14_JHTMW",NA
"Men","Men50-59","ERIC MUSSELMAN",260,NA,590,NA,425,1275,4,43,1,5,NA,NA,NA,6,NA,1,6,1,1,NA,NA,NA,1,NA,4,28,1,4,NA,NA,NA,6,NA,"2026-03-14_JHTMW",NA
"Men","MenU17","LIAM GREENLEY",350,NA,475,NA,438,1263,5,11,15,3,NA,NA,NA,12,NA,2,2,2,1,NA,NA,NA,2,NA,5,8,14,3,NA,NA,NA,11,NA,"2026-03-14_JHTMW",NA
"Women","Women40-49","AYESHA ROLLINSON",390,NA,455,NA,413,1258,6,5,21,8,NA,NA,NA,7,NA,1,1,1,1,NA,NA,NA,1,NA,1,2,2,2,NA,NA,NA,1,NA,"2026-03-14_JHTMW",NA
"Men","Men40-49","SANTIAGO ROJAS",380,NA,475,NA,400,1255,7,6,15,11,NA,NA,NA,4,NA,3,3,5,3,NA,NA,NA,3,NA,6,4,14,8,NA,NA,NA,4,NA,"2026-03-14_JHTMW",NA
"Men","Men40-49","ADRIAN JOSEPH",320,NA,515,NA,400,1235,8,16,6,11,NA,NA,NA,9,NA,4,4,4,3,NA,NA,NA,4,NA,7,11,6,8,NA,NA,NA,8,NA,"2026-03-14_JHTMW",NA
"Men","Men50-59","MICHAEL BARNES",310,NA,490,NA,425,1225,9,23,12,5,NA,NA,NA,18,NA,2,3,4,1,NA,NA,NA,5,NA,8,16,12,4,NA,NA,NA,15,NA,"2026-03-14_JHTMW",NA
"Men","Men20-29","ERIC SZAFRANSKI",320,NA,510,NA,388,1218,10,16,7,18,NA,NA,NA,11,NA,1,2,1,2,NA,NA,NA,2,NA,9,11,7,14,NA,NA,NA,10,NA,"2026-03-14_JHTMW",NA
"Men","Men20-29","PHOENIX ROY",360,NA,495,NA,363,1218,10,7,10,28,NA,NA,NA,4,NA,1,1,3,3,NA,NA,NA,1,NA,9,5,10,20,NA,NA,NA,4,NA,"2026-03-14_JHTMW",NA
"Women","Women30-39","ALEXANDRA GUNN",360,NA,455,NA,400,1215,12,7,21,11,NA,NA,NA,15,NA,1,1,2,1,NA,NA,NA,1,NA,2,3,2,4,NA,NA,NA,3,NA,"2026-03-14_JHTMW",NA
"Men","Men50-59","KEITH BROWN",290,NA,545,NA,375,1210,13,27,2,23,NA,NA,NA,9,NA,3,4,2,4,NA,NA,NA,3,NA,11,18,2,18,NA,NA,NA,8,NA,"2026-03-14_JHTMW",NA
"Men","Men50-59","TIM HARTLEY",350,NA,495,NA,363,1208,14,11,10,28,NA,NA,NA,7,NA,4,2,3,5,NA,NA,NA,2,NA,12,8,10,20,NA,NA,NA,7,NA,"2026-03-14_JHTMW",NA
"Women","WomenU17","MAELLE BOUCHARD",420,NA,400,NA,375,1195,15,3,41,23,NA,NA,NA,14,NA,1,1,1,2,NA,NA,NA,1,NA,3,1,13,6,NA,NA,NA,2,NA,"2026-03-14_JHTMW",NA
"Men","Men30-39","JOSE RICARDO CHAVEZ GOMEZJURADO",320,NA,470,NA,400,1190,16,16,19,11,NA,NA,NA,19,NA,1,1,3,2,NA,NA,NA,1,NA,13,11,18,8,NA,NA,NA,16,NA,"2026-03-14_JHTMW",NA
"Men","Men50-59","BRUCE KWOK",360,NA,465,NA,363,1188,17,7,20,28,NA,NA,NA,12,NA,5,1,5,5,NA,NA,NA,4,NA,14,5,19,20,NA,NA,NA,11,NA,"2026-03-14_JHTMW",NA
"Men","Men30-39","CYRIL PENOT",290,NA,480,NA,413,1183,18,27,14,8,NA,NA,NA,23,NA,2,2,1,1,NA,NA,NA,2,NA,15,18,13,7,NA,NA,NA,19,NA,"2026-03-14_JHTMW",NA
"Men","Men40-49","MARCIO CASSOL",270,NA,545,NA,350,1165,19,38,2,36,NA,NA,NA,15,NA,5,7,1,5,NA,NA,NA,5,NA,16,23,2,25,NA,NA,NA,13,NA,"2026-03-14_JHTMW",NA
"Men","Men60+","KELVIN LANDOLT",360,NA,430,NA,363,1153,20,7,30,28,NA,NA,NA,19,NA,1,1,1,2,NA,NA,NA,1,NA,17,5,24,20,NA,NA,NA,16,NA,"2026-03-14_JHTMW",NA
"Men","Men30-39","MIKE MACKETT",290,NA,475,NA,388,1153,20,27,15,18,NA,NA,NA,24,NA,3,2,2,3,NA,NA,NA,3,NA,17,18,14,14,NA,NA,NA,20,NA,"2026-03-14_JHTMW",NA
"Women","Women20-29","CINDY LI",330,NA,445,NA,375,1150,22,15,23,23,NA,NA,NA,22,NA,1,1,1,2,NA,NA,NA,1,NA,4,5,4,6,NA,NA,NA,4,NA,"2026-03-14_JHTMW",NA
"Men","MenU17","JEEVABHARATHI ARUN MADHUMITHA",290,NA,445,NA,400,1135,23,27,23,11,NA,NA,NA,27,NA,3,4,4,3,NA,NA,NA,4,NA,19,18,20,8,NA,NA,NA,22,NA,"2026-03-14_JHTMW",NA
"Men","Men20-29","JORGE RODRIGO VELAZQUEZ ESPINOSA",320,NA,405,NA,400,1125,24,16,38,11,NA,NA,NA,29,NA,3,2,4,1,NA,NA,NA,4,NA,20,11,28,8,NA,NA,NA,23,NA,"2026-03-14_JHTMW",NA
"Women","Women20-29","CHLOE NOLET",300,NA,385,NA,438,1123,25,26,46,3,NA,NA,NA,39,NA,2,2,2,1,NA,NA,NA,2,NA,5,9,18,1,NA,NA,NA,13,NA,"2026-03-14_JHTMW",NA
"Women","WomenU17","KATIE KEMPF",320,NA,385,NA,413,1118,26,16,46,8,NA,NA,NA,33,NA,2,2,2,1,NA,NA,NA,2,NA,6,6,18,2,NA,NA,NA,9,NA,"2026-03-14_JHTMW",NA
"Men","Men50-59","CORWIN ANG",270,NA,445,NA,400,1115,27,38,23,11,NA,NA,NA,31,NA,6,5,6,3,NA,NA,NA,6,NA,21,23,20,8,NA,NA,NA,24,NA,"2026-03-14_JHTMW",NA
"Men","MenU17","ELI QUAN",340,NA,475,NA,300,1115,27,13,15,44,NA,NA,NA,15,NA,4,3,2,5,NA,NA,NA,3,NA,21,10,14,28,NA,NA,NA,13,NA,"2026-03-14_JHTMW",NA
"Men","MenU17","ISHAAN RAAM RAGHUPRASAD",270,NA,435,NA,388,1093,29,38,28,18,NA,NA,NA,33,NA,5,5,5,4,NA,NA,NA,5,NA,23,23,23,14,NA,NA,NA,25,NA,"2026-03-14_JHTMW",NA
"Women","Women50-59","NATHALIE CHIASSON",290,NA,410,NA,375,1075,30,27,36,23,NA,NA,NA,36,NA,1,2,3,1,NA,NA,NA,4,NA,7,10,10,6,NA,NA,NA,11,NA,"2026-03-14_JHTMW",NA
"Women","Women30-39","LYNN DAVIDSON",280,NA,485,NA,300,1065,31,32,13,44,NA,NA,NA,24,NA,2,2,1,3,NA,NA,NA,2,NA,8,11,1,17,NA,NA,NA,5,NA,"2026-03-14_JHTMW",NA
"Men","Men40-49","STEVE YOUNG",320,NA,440,NA,300,1060,32,16,26,44,NA,NA,NA,26,NA,6,4,6,7,NA,NA,NA,6,NA,24,11,22,28,NA,NA,NA,21,NA,"2026-03-14_JHTMW",NA
"Women","Women50-59","SYNIKA GEE",280,NA,425,NA,350,1055,33,32,32,36,NA,NA,NA,33,NA,2,3,2,3,NA,NA,NA,3,NA,9,11,7,12,NA,NA,NA,9,NA,"2026-03-14_JHTMW",NA
"Women","Women40-49","HEATHER CIASNOCHA",240,NA,425,NA,388,1053,34,51,32,18,NA,NA,NA,40,NA,2,2,2,2,NA,NA,NA,2,NA,10,21,7,5,NA,NA,NA,14,NA,"2026-03-14_JHTMW",NA
"Women","Women50-59","VICTORIA WINTER",310,NA,405,NA,325,1040,35,23,38,42,NA,NA,NA,31,NA,3,1,4,5,NA,NA,NA,2,NA,11,8,11,16,NA,NA,NA,8,NA,"2026-03-14_JHTMW",NA
"Men","Men30-39","YAMIN BENMESSAOUD",270,NA,420,NA,350,1040,35,38,34,36,NA,NA,NA,38,NA,4,4,4,5,NA,NA,NA,4,NA,25,23,26,25,NA,NA,NA,26,NA,"2026-03-14_JHTMW",NA
"Women","Women18-19","RILEY FIELD",340,NA,390,NA,300,1030,37,13,43,44,NA,NA,NA,28,NA,1,1,1,1,NA,NA,NA,1,NA,12,4,15,17,NA,NA,NA,6,NA,"2026-03-14_JHTMW",NA
"Women","WomenU17","MIKAELA PENALOZA",320,NA,345,NA,363,1028,38,16,58,28,NA,NA,NA,40,NA,3,2,3,3,NA,NA,NA,3,NA,13,6,28,9,NA,NA,NA,14,NA,"2026-03-14_JHTMW",NA
"Women","Women50-59","MOJGAN MOMAYEZSIAHKAL",260,NA,405,NA,363,1028,38,43,38,28,NA,NA,NA,40,NA,4,6,4,2,NA,NA,NA,5,NA,13,16,11,9,NA,NA,NA,14,NA,"2026-03-14_JHTMW",NA
"Men","Men30-39","ALFREDSON REYES",200,NA,410,NA,388,998,40,58,36,18,NA,NA,NA,50,NA,5,6,5,3,NA,NA,NA,5,NA,26,32,27,14,NA,NA,NA,28,NA,"2026-03-14_JHTMW",NA
"Women","Women50-59","LAURA-LEE CATLEUGH",280,NA,440,NA,275,995,41,32,26,51,NA,NA,NA,30,NA,5,3,1,7,NA,NA,NA,1,NA,15,11,5,22,NA,NA,NA,7,NA,"2026-03-14_JHTMW",NA
"Women","Women30-39","MICHELLE CAMERON",260,NA,435,NA,300,995,41,43,28,44,NA,NA,NA,37,NA,3,3,3,3,NA,NA,NA,3,NA,15,16,6,17,NA,NA,NA,12,NA,"2026-03-14_JHTMW",NA
"Men","Men60+","JAMES SWINNERTON",260,NA,350,NA,375,985,43,43,56,23,NA,NA,NA,50,NA,2,2,3,1,NA,NA,NA,3,NA,27,28,30,18,NA,NA,NA,28,NA,"2026-03-14_JHTMW",NA
"Women","Women30-39","CAROLINA RODRIGUEZ",220,NA,390,NA,363,973,44,55,43,28,NA,NA,NA,50,NA,4,5,4,2,NA,NA,NA,4,NA,17,24,15,9,NA,NA,NA,23,NA,"2026-03-14_JHTMW",NA
"Women","Women20-29","MARIAH DI MARINO",260,NA,360,NA,338,958,45,43,55,40,NA,NA,NA,49,NA,3,4,4,3,NA,NA,NA,4,NA,18,16,26,14,NA,NA,NA,22,NA,"2026-03-14_JHTMW",NA
"Women","Women50-59","CHARLENE SCHEUNEMAN",220,NA,390,NA,338,948,46,55,43,40,NA,NA,NA,50,NA,6,7,6,4,NA,NA,NA,7,NA,19,24,15,14,NA,NA,NA,23,NA,"2026-03-14_JHTMW",NA
